Commodity,CommodityPrice,ItemPrice,Client,MonthDate,ASItemNo,Description,ContractType,ExpirationDate,Spend,L2 Category,L3 Category
KC Wheat (HRW),630.85,24.026315,Auntie Anne's,01/01/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),664.6875,24.026315,Auntie Anne's,01/02/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),737.3125,24.026315,Auntie Anne's,01/03/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),744.875,24.852778,Auntie Anne's,01/04/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),786.3,24.914207,Auntie Anne's,01/05/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),718.6875,24.921708,Auntie Anne's,01/06/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),656,25.002325,Auntie Anne's,01/07/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),625.6875,24.768718,Auntie Anne's,01/08/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),598.775,24.646036,Auntie Anne's,01/09/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),584.4,24.460318,Auntie Anne's,01/10/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),592.8125,24.07701,Auntie Anne's,01/11/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),652.0625,24.026315,Auntie Anne's,01/12/14,4401833,"MIX, PRETZEL ORIG",Client Contr,01/03/15,8699129.89,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),601.55,23.769564,Auntie Anne's,01/01/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),548.1875,23.745067,Auntie Anne's,01/02/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),546.4375,24.010095,Auntie Anne's,01/03/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),536.1,23.907782,Auntie Anne's,01/04/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),521.625,23.845695,Auntie Anne's,01/05/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),519.875,23.851502,Auntie Anne's,01/06/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),551.2,23.757817,Auntie Anne's,01/07/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),487.875,23.732018,Auntie Anne's,01/08/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),481.875,23.717551,Auntie Anne's,01/09/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),492.35,23.643616,Auntie Anne's,01/10/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),472.1875,23.644294,Auntie Anne's,01/11/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),471.85,23.635808,Auntie Anne's,01/12/15,4401833,PRETZEL MIX ORGNL,Client Contr,01/03/16,12718793.85,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),465.8125,23.320671,Auntie Anne's,01/01/16,4401833,"MIX, PRETZEL ORIG",Client Contr,NULL,12719313.05,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),454.1875,23.185539,Auntie Anne's,01/02/16,4401833,"MIX, PRETZEL ORIG",Client Contr,NULL,12719313.05,Grains Doughs & Batters,Batters & Base Mixes
KC Wheat (HRW),471.3,23.444252,Auntie Anne's,01/03/16,4401833,"MIX, PRETZEL ORIG",Client Contr,NULL,12719313.05,Grains Doughs & Batters,Batters & Base Mixes
